ID	Lat	Lon	Average	Variance	Votes	Geograph URI
133	58.6035	-3.62645	4.0000	0.0000	4,4,4,4	http://www.geograph.org.uk/photo/1340
134	54.2735	-4.57273	4.0000	5.3333	1,5,5,8,3,2	http://www.geograph.org.uk/photo/1343
135	53.32	-2.53298	4.7500	4.6875	6,5,1,6,8,4,2,6	http://www.geograph.org.uk/photo/1361
136	53.311	-2.53287	2.3000	0.6100	1,2,2,2,4,3,2,3,2,2	http://www.geograph.org.uk/photo/1363
137	54.5974	-1.17493	1.7000	3.2100	2,7,1,1,1,1,1,1,1,1	http://www.geograph.org.uk/photo/1375
138	50.855	-0.815009	4.0000	6.8571	2,1,9,5,6,3,2	http://www.geograph.org.uk/photo/1378
139	50.6037	-4.59349	3.5000	1.5000	4,2,4,4,4,5,1,4	http://www.geograph.org.uk/photo/1407
140	51.3781	-1.1996	3.7500	3.1875	6,5,2,2	http://www.geograph.org.uk/photo/1417
141	52.254	-1.98388	4.1000	2.0900	2,4,5,5,1,4,5,6,5,4	http://www.geograph.org.uk/photo/1427
142	55.5138	-2.3405	7.1429	1.5510	7,5,8,7,10,8,8,6,7,8,6,6,8,6	http://www.geograph.org.uk/photo/1454
143	55.5662	-2.68984	5.8750	2.8594	6,3,6,9,7,6,6,4	http://www.geograph.org.uk/photo/1461
144	55.5487	-2.61028	4.7143	3.3469	5,4,6,4,7,1,6	http://www.geograph.org.uk/photo/1468
146	58.1593	-3.9121	8.1429	2.4082	8,9,6,10,8,6,10	http://www.geograph.org.uk/photo/1501
148	51.2796	-1.01634	4.5714	4.8163	3,8,2,3,7,3,6	http://www.geograph.org.uk/photo/1510
149	51.2822	-1.00338	6.0000	2.6667	6,8,9,5,4,5,6,4,7	http://www.geograph.org.uk/photo/1511
150	51.2803	-0.989081	2.4286	0.8163	1,3,4,2,2,3,2	http://www.geograph.org.uk/photo/1513
151	54.0339	-4.83285	6.5000	6.0833	5,4,9,7,10,9,5,5,10,7,5,2	http://www.geograph.org.uk/photo/1538
152	53.5115	-2.21114	2.3333	2.5556	1,4,1,2,1,5	http://www.geograph.org.uk/photo/1563
153	51.031	-1.07438	2.8000	0.9600	1,3,4,3,3	http://www.geograph.org.uk/photo/1573
154	54.3584	-4.37791	6.3750	2.9844	7,3,9,6,7,5,8,6	http://www.geograph.org.uk/photo/1597
155	54.581	-0.916842	5.2857	4.2041	3,2,7,8,5,7,5	http://www.geograph.org.uk/photo/1600
156	51.4404	-1.38846	7.3333	0.8889	7,6,7,8,7,9	http://www.geograph.org.uk/photo/1614
157	57.2003	-3.74636	7.0000	3.3333	7,7,6,2,8,8,8,10,7,8,7,6	http://www.geograph.org.uk/photo/1623
158	58.1247	-3.82533	6.8571	1.2653	6,8,7,8,8,6,5	http://www.geograph.org.uk/photo/1634
159	58.4651	-4.42597	7.1250	2.3594	10,7,6,7,7,6,9,5	http://www.geograph.org.uk/photo/1667
160	53.181	-3.12987	1.5000	0.2500	1,2,2,2,1,1	http://www.geograph.org.uk/photo/1676
161	53.2519	-3.91128	4.8333	3.8056	6,8,3,2,5,5	http://www.geograph.org.uk/photo/1684
162	51.4126	-1.24502	4.5000	1.9167	6,6,2,5,4,4	http://www.geograph.org.uk/photo/1693
163	50.8481	-0.842177	1.5714	1.1020	1,1,1,1,4,2,1	http://www.geograph.org.uk/photo/1703
164	52.079	1.30591	4.8000	3.3600	6,5,3,8,4,4,2,3,6,7	http://www.geograph.org.uk/photo/1736
165	53.4552	-2.4443	4.6250	5.7344	5,3,4,10,1,5,5,4	http://www.geograph.org.uk/photo/1757
166	53.8827	-0.927368	5.0000	2.8571	8,2,4,5,5,6,5	http://www.geograph.org.uk/photo/1777
167	50.9706	-1.06704	5.3333	1.2222	5,6,6,4,7,4	http://www.geograph.org.uk/photo/1783
168	53.5124	-2.22019	5.5000	7.2500	6,7,2,1,8,4,7,9	http://www.geograph.org.uk/photo/1784
170	57.6241	-3.63267	5.1429	2.1224	3,4,7,7,4,5,6	http://www.geograph.org.uk/photo/1795
171	51.8156	-0.245872	3.3333	0.8889	4,4,2	http://www.geograph.org.uk/photo/1805
172	53.2389	-3.566	4.6250	4.7344	5,6,3,3,8,1,7,4	http://www.geograph.org.uk/photo/1837
173	54.6956	-2.45775	4.2727	6.0165	5,5,5,1,1,7,9,6,4,2,2	http://www.geograph.org.uk/photo/1842
174	53.9981	-0.771831	6.5714	2.5306	7,8,9,5,4,6,7	http://www.geograph.org.uk/photo/1864
175	54.0067	-0.741054	6.1667	1.8056	8,8,5,5,5,6	http://www.geograph.org.uk/photo/1865
176	55.2264	-2.27515	5.6667	4.5556	6,2,9,7,5,5	http://www.geograph.org.uk/photo/1876
177	53.326	-2.99855	5.0000	4.0000	8,6,3,2,6,7,3,5	http://www.geograph.org.uk/photo/1888
178	51.4027	-1.25093	3.0000	1.5000	3,4,4,1,4,4,1,3	http://www.geograph.org.uk/photo/1901
179	51.4017	-1.22651	4.5000	0.7500	4,5,4,6,3,4,5,5	http://www.geograph.org.uk/photo/1906
180	51.4007	-1.21071	3.8571	2.6939	6,5,4,1,5,4,2	http://www.geograph.org.uk/photo/1908
181	51.3942	-1.33445	2.3333	1.8889	1,1,3,5,2,2	http://www.geograph.org.uk/photo/1916
182	51.1829	-0.690714	5.7143	3.3469	2,5,8,7,6,7,5	http://www.geograph.org.uk/photo/1917
183	51.3863	-1.36043	2.8000	1.7600	1,3,5,2,3	http://www.geograph.org.uk/photo/1918
184	51.3678	-2.57322	6.2857	1.3469	8,7,6,4,6,7,6	http://www.geograph.org.uk/photo/1921
185	53.8964	-2.11415	6.3333	4.5556	10,3,7,6,7,5	http://www.geograph.org.uk/photo/1925
186	51.4047	-1.2811	2.6250	1.9844	1,1,2,2,4,4,5,2	http://www.geograph.org.uk/photo/1929
187	51.1384	-0.73486	5.0000	2.0000	3,6,4,7,6,4	http://www.geograph.org.uk/photo/1937
188	51.4032	-1.18766	5.0000	1.5000	6,7,5,6,5,4,3,4	http://www.geograph.org.uk/photo/1941
189	52.9522	-2.30516	5.8889	7.2099	9,10,8,7,2,5,5,2,5	http://www.geograph.org.uk/photo/1980
190	51.438	-1.03596	6.4000	0.2400	6,6,7,6,7	http://www.geograph.org.uk/photo/2009
191	54.1869	-3.21843	5.2500	3.6875	8,3,6,4	http://www.geograph.org.uk/photo/2014
192	51.403	-1.15891	6.3333	0.5556	6,7,7,7,6,5	http://www.geograph.org.uk/photo/2032
193	54.8143	-1.37127	2.2000	1.3600	3,1,1,2,4	http://www.geograph.org.uk/photo/2037
194	51.3958	-1.29992	2.0000	2.2222	6,2,1,2,2,1,1,1,2	http://www.geograph.org.uk/photo/2062
195	50.5951	-4.57888	4.0000	2.8889	2,6,3,5,3,1,5,5,6	http://www.geograph.org.uk/photo/2134
196	50.5954	-4.56476	5.0000	3.0000	6,2,6,6	http://www.geograph.org.uk/photo/2135
197	50.3616	-3.53966	6.1250	4.8594	3,8,7,7,8,2,6,8	http://www.geograph.org.uk/photo/2143
198	52.9702	-2.2755	4.6000	5.8400	5,2,9,3,4	http://www.geograph.org.uk/photo/2257
199	52.9612	-2.27545	5.6250	3.4844	6,7,7,7,6,2,7,3	http://www.geograph.org.uk/photo/2259
200	51.0035	-0.738532	3.6667	2.5556	4,3,6,5,1,3	http://www.geograph.org.uk/photo/2266
201	51.0125	-0.738288	5.0000	7.7143	4,2,8,10,4,2,5	http://www.geograph.org.uk/photo/2268
202	51.0212	-0.709533	4.6667	3.1111	4,5,9,4,4,5,5,2,4	http://www.geograph.org.uk/photo/2273
203	54.0968	-3.24638	1.6667	0.2222	2,1,2	http://www.geograph.org.uk/photo/2284
205	51.3852	-1.18798	6.2857	3.3469	6,8,3,7,9,6,5	http://www.geograph.org.uk/photo/2327
206	53.5099	-2.00754	7.2500	0.1875	8,7,7,7	http://www.geograph.org.uk/photo/2332
207	51.4118	-1.12999	5.4286	4.5306	6,8,6,3,8,2,5	http://www.geograph.org.uk/photo/2334
